Operator Company	Exchange	Project Ownership	Project Name	Commodities	Resource	Stage	Project Country	Project State Or Province	Longitude	Latitude	Mineral District	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Verified Project Area Ha	Article Link	Contact/CEO	Aggregate Deal Value ($)	Interest Acquired %	Acquisition Details	Option Period (y)	Aggregate deal value ($)	Sum of Cash Payments ($)	Exploration commitments ($)	Cash + Shares ($)	Calculated Cash + Share value column ($)	Share Value ($)	sum of Cash + Calculated Share value ($)	Calculated Share Value ($)	Number of Shares sold	Share Price ($)	NSR %	Article Date
Novo Resources Corp.	NVO:CA	Operator: Novo Resources Corp.  Owner: Novo Resources Corp. (100%)	Bamboo Creek	Au		Advanced Exploration	Australia	Western Australia	120.2145678	-20.77727192			31916725	31916725	https://www.novoresources.com	https://www.novoresources.com	Novo Reaches Second and Final Completion Milestone With Creasy Group	Project Acquisition	  -   	https://app.mininghub.com/article/30145	Mike Spreadborough, Executive Co-Chairman and Acting Chief Executive Officer						-	-		#VALUE!		#VALUE!	0	8431			20/01/2023 08:09:00
Buru Energy Ltd.	ASX:BRU	Operator: Buru Energy Ltd.  Owner: Sipa Resources Limited (100%)	Barbwire Terrace	Pb,Zn,Ag		Early Stage	Australia	Western Australia	124.8052552	-18.98273279		71879.66	4580381.542	29617565.066			Sipa Moves to 100% Ownership of Barbwire Terrace Project	Project Acquisition	  -   	https://app.mininghub.com/article/85087	Andrew Muir, Managing Director		50%	50% (Sipa acquiring Buru's remaining 50% to move to 100% of Barbwire Terrace)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.036	0.6	23/01/2025 15:20:02
Duketon Mining Limited	ASX:DKM	Operator: Duketon Mining Limited  Owner: Duketon Mining Limited (100%)	Barlee	Ti		Early Stage	Australia	Western Australia	119.1222115	-29.60534917		51195.79	11751511.776	11751511.776			Barlee South Tenement Granted	Project Acquisition	  51,000 	https://app.mininghub.com/article/92920	Stuart Fogarty, Managing Director		100%	(of new tenement E77/3160)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.12		30/03/2025 15:19:13
Flynn Gold Limited	ASX:FG1	Operator: Flynn Gold Limited  Owner: Flynn Gold Limited (100%)	Beaconsfield	Au	3.785Mt @ 14.51g/t Au (1,774koz Au)	Advanced Exploration	Australia	Tasmania	146.8279501	-41.22339735		4000.48	8351753.02	8351753.02			FG1 Secures Strategic EL Application at Beaconsfield NE Tas	Project Acquisition	  4,000 	https://app.mininghub.com/article/69140	Neil Marston, Flynn Gold Managing Director & CEO		100%	(of granted EL13/2024)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.03		22/08/2024 17:19:08
Spartan Resources Limited	ASX:SPR	Operator: Spartan Resources Limited  Owner: Spartan Resources Limited (100%) Optioner: Spartan Resources Limited, Optionee: Fenix Resources Ltd	Beebynganna Hills	Fe		Advanced Exploration	Australia	Western Australia	117.810602	-27.05207206		12241.40	2223516286.505	2223516286.505			FEX: Fenix acquires Beebynganna Hills Iron Ore Project	Project Acquisition	  13,120 	https://app.mininghub.com/article/82270	Simon Lawson, Spartan Interim Executive Chairman		100%	(of E51/1681 - Beebynganna Hills - iron ore and ferrous mineral rights)			837500	-		837500		#VALUE!	#VALUE!	-	2.16		17/12/2024 15:32:27
Belararox Limited	ASX:BRX	Owner: Belararox Limited (100%)	Belara	Cu, Au, Zn, Pb, Ag		Advanced Exploration	Australia	New South Wales	149.334009	-32.45007507		64301.52	23034258.08	23034258.08			Agreement Executed to Acquire Kalahari Copper Project	Project Acquisition	  426,800 	https://app.mininghub.com/article/71103	Arvind Misra, Belararox’s Managing Director		100%	(of KCB Resources)			1340000	840000		1340000		2313350	973350	9270000	0.105	1	11/09/2024 16:23:49
Cygnus Metals Limited	ASX:CY5	Operator: Cygnus Metals Limited  Owner: Cygnus Metals Limited (100%)	Bencubbin	Li	119.1Mt @ 1.1% Li2O	Advanced Exploration	Australia	Western Australia	117.9521084	-31.03168805		84092.11	71335460.364	71335460.364			Quarterly Activities/Appendix 5B Cash Flow Report	Resource Estimate,Maiden Resource Estimate,Drill Program,Project Acquisition	  80,000 	https://app.mininghub.com/article/56668	David Southam, Cygnus Managing Director		51%	51% (Earned-in at Pontax, potential up to 70%)			2706130	-		4150130	1444000	#VALUE!	#VALUE!	-	0.078		30/07/2023 16:24:50
Q2 Metals Corp.	QTWO:CA	Operator: Q2 Metals Corp.  Owner: Q2 Metals Corp. (100%)	Big Hill	Au		Early Stage	Australia	Queensland	151.7018529	-28.0915917		13311.32	96995794	96995794	https://www.queenslandgoldhills.com	https://www.queenslandgoldhills.com	Q2 Metals Outlines 2023 Exploration Program and Acquires 3900 Hectare Stellar Lithium Property in James Bay, Quebec	Exploration update,Project Acquisition	  11,000 	https://app.mininghub.com/article/31988	Alicia Milne, President & CEO						-	-		#VALUE!		#VALUE!	#VALUE!	-			02/03/2023 06:30:00
Infinity Lithium Corporation Limited	ASX:INF	Operator: Infinity Lithium Corporation Limited  Owner: Infinity Lithium Corporation Limited (100%)	Bindi	Au		Early Stage	Australia	Victoria	147.8412978	-37.08845021		43229.10	11342210.232	11342210.232			Infinity Acquires Gold Projects	Project Acquisition	  150,900 	https://app.mininghub.com/article/93123	Mr Adrian Byass, Infinity Execu(cid:415)ve Chairman		100%	(of Highland Resources Limited)			50000	-		50000		850000	800000	40000000	0.02		30/03/2025 16:31:23
Cosmo Metals Limited	ASX:CMO	Operator: Cosmo Metals Limited  Owner: Cosmo Metals Limited (100%)	Bingara	Sb,Cu	29.9 kt Sb	Early Stage	Australia	New South Wales	150.5972697	-29.90415548		48636.96	3627029.835	3627029.835			Option to Buy High Grade NSW Gold, Antimony, Copper Projects	Project Acquisition	  48,410 	https://app.mininghub.com/article/87544	Peter Bird, Cosmo’s Chairman		100%	(of Newco, which holds the Bingara and Nundle projects)			300000	857500	2200000	2200000	1900000	2453333.339	2153333.339	126666667	0.017	1.5	11/02/2025 16:35:13
Techgen Metals Ltd	ASX:TG1	Operator: Techgen Metals Ltd  Owner: Unknown (100%) Optioner: Unknown, Optionee: Techgen Metals Ltd	Blue Bore	Cu		Early Stage	Australia	Northern Territory	135.8921839	-25.77037107		394191.15	3649311.33	3649311.33			Option Agreement NT Copper Project	Project Acquisition	  395,000 	https://app.mininghub.com/article/81399	Mr Ashley Hood, Managing Director		80%	(Option to acquire)			50000	-		50000		#VALUE!	#VALUE!	-	0.028	2	09/12/2024 16:15:57
Infinity Mining Limited	ASX:IMI	Operator: Infinity Mining Limited  Owner: Infinity Mining Limited (100%)	Bogong	Cu,Au		Advanced Exploration	Australia	New South Wales	148.339814	-35.33371062		11101.93	5076189.324	5076189.324			Infinity Secures Bogong Copper Gold Tenement in NSW	Project Acquisition	  1,600 	https://app.mininghub.com/article/77716	Joe Phillips, Executive Chairman		100%	(of granted EL9697 - Bogong Copper Project)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.009		04/11/2024 17:41:49
Forrestania Resources Limited	ASX:FRS	Operator: Forrestania Resources Limited  Owner: Forrestania Resources Limited (100%) Optioner: Outback Minerals Pty Ltd, Optionee: Forrestania Resources Limited	Bonnie Vale	Au		Early Stage	Australia	Western Australia	121.1221022	-30.80949867		7724.96	8660997.147	8660997.147			Bonnie Vale Project Option Exercised	Project Acquisition	  9,000 	https://app.mininghub.com/article/98360	John Hannaford, Forrestania Resources’ Chairman		100%	(Option exercised for Bonnie Vale & Breakaway Dam projects)			100000	-	1200000	1200000	1100000	#VALUE!	#VALUE!	-	0.078		01/04/2025 15:16:31
Alma Metals Limited	ASX:ALM	Operator: Alma Metals Limited  Owner: Alma Metals Limited (51%) Owner: Canterbury Resources Limited (49%)	Briggs	Cu,Mo	415Mt @ 0.25% Cu, containing over 1 Mt Cu	Advanced Exploration	Australia	Queensland	150.7715053	-23.98049721		22855.99	6345381.2	6345381.2			Completion of Tenement Addition and Drilling Update	Drilling Update,Project Acquisition	  -   	https://app.mininghub.com/article/65368	Frazer Tabeart, Managing Director		51%	Alma Metals to increase interest to 51% in Briggs JV (earning from Canterbury Resources, can earn up to 70%)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.004		17/07/2024 16:24:46
Impact Minerals Limited	ASX:IPT	Operator: Impact Minerals Limited  Owner: New Frontier Minerals Limited (100%) Optioner: New Frontier Minerals Limited, Optionee: Impact Minerals Limited	Broken Hill East	Fe,Cu		Advanced Exploration	Australia	New South Wales	141.7216489	-32.01813514			18513316.315	18513316.315			New Ground Acquisition at Broken Hill	Project Acquisition	  177,000 	https://app.mininghub.com/article/90419	Dr Michael G Jones, Managing Director		100%	(Impact Minerals acquiring BHA No. 1 Pty Ltd from NFM)			-	-		#VALUE!	275000	#VALUE!	#VALUE!	-	0.006	2	09/03/2025 17:47:40
Trigg Minerals Limited	ASX:TMG	Operator: Trigg Minerals Limited  Owner: Trigg Minerals Limited (100%)	Bukkulla	Sb	1.52 Mt @ 1.97% Sb (29,902 t Sb contained)	Early Stage	Australia	New South Wales	151.0830316	-29.44108221		8663.75	25868357.06	25868357.06			TRIGG ACQUIRES PAST-PRODUCING HIGH-GRADE ANTIMONY PROJECT	Project Acquisition	  102,600 	https://app.mininghub.com/article/86713	Timothy Morrison, Trigg Minerals Executive Chair		100%	(of new ELAs: ELA 6870, ELA 6871, ELA 6872, if granted)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.066		03/02/2025 15:19:16
Zijin Mining Group Co. Ltd.	ASX:MI6	Operator: Zijin Mining Group Co. Ltd.  Owner: Zijin Mining Group Co. Ltd. (100%) Optioner: Zijin Mining Group Co. Ltd., Optionee: Minerals 260 Limited NSR: VOX Royalty Corp. 	Bullabulling	Au	60 Mt @ 1.2 g/t Au containing 2,300 Koz Au	Advanced Exploration	Australia	Western Australia	120.9678697	-31.07768055		13819.15	30420000				Acquisition of the Bullabulling Gold Project Completed	Project Acquisition	  29,300 	https://app.mininghub.com/article/98825	Luke McFadyen, Managing Director		100%				156500000	16000000	166500000	166500000	10000000	#VALUE!	#VALUE!	-	0.13		06/04/2025 16:19:34
Golden Horse Minerals Limited	TSXV:GHML	Operator: Golden Horse Minerals Limited  Owner: Torque Metals Limited (100%) Optioner: Torque Metals Limited, Optionee: Golden Horse Minerals Limited	Bullfinch	Au		Early Stage	Australia	Western Australia	119.1234954	-30.95577238		128380.92	10312950	10312950	http://www.altanrio.com	http://www.altanrio.com	Golden Horse Continues to Expand Southern Cross Footprint with Bullfinch Acquisition	Project Acquisition	  42,200 	https://app.mininghub.com/article/73516	Nicholas Anderson, Managing Director & CEO						301500	-		301500		#VALUE!	#VALUE!	-	0.495		01/10/2024 17:40:00
WIN Metals Ltd.	ASX:WIN	Operator: WIN Metals Ltd.  Owner: WIN Metals Ltd. (100%)	Butcher's Creek	Au		Advanced Exploration	Australia	Western Australia	127.8136878	-18.43174192		22522.92	144885492.484	8250871.395			Completion of Sale of Palm Springs Project	Project Acquisition	  -   	https://app.mininghub.com/article/79533	Nicholas Holthouse, Chief Executive Officer		100%	100% of M80/418 and other specified ELs/PLs; 97% of M80/315 and M80/416 (WIN Metals acquiring these interests from Meteoric)			3250000	-	5000000	5000000	1750000	#VALUE!	#VALUE!	-			20/11/2024 21:02:24
Caspin Resources Limited	ASX:CPN	Operator: Caspin Resources Limited  Owner: Caspin Resources Limited (100%)	Bygoo	Sn		Advanced Exploration	Australia	New South Wales	146.9929365	-34.50015849		118857.57	9872732.808	9872732.808			Acquisition Bygoo Tin Project Complete, Drilling to Commence	Drilling Update,Planned Drilling,Project Acquisition	  118,300 	https://app.mininghub.com/article/80826	Mr Greg Miles, Caspin’s Managing Director		100%	(of Bygoo Tin Project via acquisition of Riverston Tin Pty Ltd)			421679	300000		921679	500000	971679	550000	10000000	0.055	2	03/12/2024 16:33:43
Charger Metals NL	ASX:CHR	Operator: Charger Metals NL  Owner: Charger Metals NL (100%)	Bynoe	Li	1.92Mt @ 1.03% Li₂O	Advanced Exploration	Australia	Northern Territory	130.7322917	-12.78854167		5338.46	3406491	3406491			Charger to Acquire 100% of the Bynoe Lithium Project	Project Acquisition	  6,300 	https://app.mininghub.com/article/77981	Aidan Platel, Charger’s Managing Director		30%	30% (Core Lithium acquiring Lithium Australia's 30% interest in Bynoe, subject to pre-emptive rights)			500000	-		762300	262300	762300	262300	6100000	0.043		06/11/2024 16:34:27
Copper Search Limited	ASX:CUS	Operator: Copper Search Limited  Owner: Copper Search Limited (100%) Optioner: Nimrod Resources Limited, Optionee: Copper Search Limited	Byrock	Cu,Au	7,540,000 tonnes Cu	Early Stage	Australia	New South Wales	146.1306388	-30.67566901		190037.59	3085520.542	3085520.542			Pipeline of Copper-Gold Targets Secured - Byrock Project	Project Acquisition	  193,200 	https://app.mininghub.com/article/87362	Duncan Chessell, Managing Director		75%	Up to 75% (CUS - Copper Search to earn-in at Byrock Project)			-	3745000	125000	#VALUE!	600000	#VALUE!	64600	3230000	0.02	1.5	10/02/2025 15:58:06
Macro Metals Limited	ASX:M4M	Operator: Macro Metals Limited  Owner: Macro Metals Limited (100%)	Cane Bore	Fe	246.7Mt capable of producing a concentrate at >68% Fe	Advanced Exploration	Australia	Western Australia	115.6011455	-21.97249991		50828.21	31659340.224	31659340.224			Significant Increase in Pilbara Landholding	Project Acquisition	  -   	https://app.mininghub.com/article/67482	Simon Rushton, Managing Director		100%	(of granted E08/3424 - Cane Bore Iron Project)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.01		04/08/2024 16:27:27
Viking Mines Limited	ASX:VKA	Operator: Viking Mines Limited  Owner: Viking Mines Limited (100%)	Canegrass	V,Fe,Ti	146Mt at 0.70% V2O5, 31.8% Fe & 6.6% TiO2	Advanced Exploration	Australia	Western Australia	118.397867	-28.35209063			9297031.24	9297031.24			VIKING MOVES TO 100% OWNERSHIP OF CANEGRASS PROJECT	Mergers & Acquisitions,Project Acquisition	  -   	https://app.mininghub.com/article/70338	Julian Woodcock, Viking Mines Managing Director & CEO		51%	51% (Viking acquiring remaining 51% of Canegrass Project via Flinders Canegrass Pty Ltd acquisition to move to 100%)			954750	-		954750		1154749.998	199999.998	33333333	0.006	2	04/09/2024 16:39:20
Infinity Mining Limited	ASX:IMI	Operator: Infinity Mining Limited  Owner: Infinity Mining Limited (100%)	Cangai	Cu	63Mt @ 0.07% Cu, 44,260t contained copper metal	Advanced Exploration	Australia	New South Wales	152.4792511	-29.48557981			5076189.324	5076189.324			CCZ: Divestment of Cangai Copper Mine	Project Acquisition	  -   	https://app.mininghub.com/article/80471	Joe Phillips, Executive Chairman		100%	(IMI acquiring Cangai Copper Mine tenements from CCZ)			-	-		#VALUE!		#VALUE!	657000	73000000	0.009	1	01/12/2024 15:20:19
Helix Resources Limited	ASX:HLX	Operator: Helix Resources Limited  Owner: Legacy Minerals Holdings Limited (100%) Optioner: Legacy Minerals Holdings Limited, Optionee: Helix Resources Limited	Central Cobar	Au,Cu,Pb,Zn	16.74 Mt (356 koz Au)	Early Stage	Australia	New South Wales	145.8947115	-31.70272436		30365.68	26856365.09	6728387.366			LGM: Helix to Farm-in to Legacys Central Cobar Project	Project Acquisition	  30,800 	https://app.mininghub.com/article/68624	Kylie Prendergast, Helix’s Managing Director		80%	Up to 80% (HLX to earn from LGM, initial 51% at Central Cobar)			1876000	1960000		1876000		#VALUE!	#VALUE!	-	0.002	2	18/08/2024 16:19:20
Aurumin Limited	ASX:AUN	Operator: Aurumin Limited  Owner: Aurumin Limited (100%) Optioner: Aurumin Limited, Optionee: Brightstar Resources Limited	Central Sandstone	Au,Fe	19,254 kt @ 1.5 g/t Au, 946,000 oz Au	Advanced Exploration	Australia	Western Australia	119.2943326	-28.00810959		76450.01	27678568.064	27678568.064			Joint Venture, worth up to $7M, on Sandstone Iron Ore	Project Acquisition	  -   	https://app.mininghub.com/article/74289	Brad Valiukas, Aurumin's Managing Director		50%	(Newcam to earn in Iron Ore rights at Central Sandstone Project)			1340000	-		1340000		#VALUE!	#VALUE!	-	0.078	2	09/10/2024 16:30:15
Taiton Resources Limited	ASX:T88	Operator: Taiton Resources Limited  Owner: Taiton Resources Limited (100%)	Challenger West	Au		Early Stage	Australia	South Australia	133.2663295	-29.7239612		185780.21	7073450.91	7073450.91			Additional Tenement Granted at Challenger West	Project Acquisition	  185,800 	https://app.mininghub.com/article/69940	Noel Ong, Executive Director		100%	(of granted EL 7012)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.095		01/09/2024 17:10:30
Orion Resources Pty Ltd	ASX:AKN	Operator: Orion Resources Pty Ltd  Owner: Orion Resources Pty Ltd (85%) Owner: Auking Mining Limited (15%) Optioner: Auking Mining Limited, Optionee: Orion Resources Pty Ltd	Cloncurry	Au		Advanced Exploration	Australia	Queensland	140.6957393	-20.94366963		13036.04	2873893.84				AKN secures right to acquire 50% of Cloncurry Gold Project	Project Acquisition	  44,700 	https://app.mininghub.com/article/89911	Paul Williams, Managing Director		50%	(Auking's shareholding interest in Orion Resources Pty Ltd, proposed new owner of Cloncurry Gold Project)			6385000	2450000		6385000		#VALUE!	#VALUE!	-			03/03/2025 15:53:41
Dart Mining NL	ASX:DTM	Operator: Dart Mining NL  Owner: Great Divide Mining Ltd (100%) Optioner: Great Divide Mining Ltd, Optionee: Dart Mining NL	Coonambula	Au,Sb	20kt @ 20g/t Au	Early Stage	Australia	Queensland	150.8380842	-25.4661751		49822.98	3438819.57	3438819.57			Agreement Over Advanced Antimony Gold Project - Amendment	Project Acquisition	  28,200 	https://app.mininghub.com/article/90845	James Chirnside, Dart Mining Chairman			(DTM - Dart Mining to earn-in up to, at Coonambula Antimony-Gold Project)			250000	800000		250000		#VALUE!	#VALUE!	-	0.004		12/03/2025 00:00:15
Golden Horse Minerals Limited	TSXV:GHML	Operator: Golden Horse Minerals Limited  Owner: Golden Horse Minerals Limited (100%) NSR: Unknown (1.5%)	Copperhead	Cu		Advanced Exploration	Australia	Western Australia	119.123031	-30.97557937		0.50	10312950	10312950	http://www.altanrio.com	http://www.altanrio.com	Golden Horse Finalises Acquisition of Copperhead Tenement	Project Acquisition	  -   	https://app.mininghub.com/article/73460	Nicholas Anderson, Managing Director & CEO						201000	-		368500	167500	508529.64	307529.64	621272	0.495	1.5	01/10/2024 09:41:00
Sarama Resources Ltd.	TSXV:SWA	Operator: Sarama Resources Ltd.  Owner: Cosmo Gold Limited (80%) Owner: Cosmo Gold Limited (20%) Optioner: Cosmo Gold Limited, Optionee: Sarama Resources Ltd.	Cosmo Newbery	Au,Ni,Cu,Co	188,000oz	Advanced Exploration	Australia	Western Australia	122.8930837	-28.01108738		58377.51	10438134	10438134	https://www.saramaresources.com	https://www.saramaresources.com	ADG: Completion of Cosmo Gold Transaction	Project Acquisition	  58,000 	https://app.mininghub.com/article/81125	Andrew Dinning, Sarama’s President, Executive Chairman		80%	80% (Sarama acquiring initial 80% of Cosmo Gold's interest in the Cosmo Gold Project, with option for remaining 20%)			286090	-		286090		1286090	1000000	25000000	0.04	0.5	05/12/2024 15:30:01
Black Cat Syndicate Limited	ASX:BC8	Owner: Black Cat Syndicate Limited (100%)	Coyote	Au		Mining	Australia	Western Australia	128.8089581	-19.65870153		89486.63	568817655.45	568817655.45			Accelerated Payment of Deferred Consideration	Project Acquisition	  -   	https://app.mininghub.com/article/92271	Gareth Solly, Black Cat’s Managing Director		100%	100% (This refers to a past acquisition of Coyote and Paulsens for which deferred consideration is being paid, not a new % acquisition)			5000000	-		5000000		#VALUE!	#VALUE!	-	0.82		24/03/2025 16:16:07
Bubalus Resources Limited	ASX:BUS	Owner: Syndicate Minerals Pty (100%) Optioner: Syndicate Minerals Pty, Optionee: Bubalus Resources Limited	Crosbie	Au,Sb	21.6Mt @ 4.3 g/t Au	Early Stage	Australia	Victoria	144.6736315	-36.76436398		2146.10	6857639.86	6857639.86			Investor Presentation - Victorian Gold Project Acquisition	Project Acquisition	  100,000 	https://app.mininghub.com/article/81691	Alec Pismiris, Executive Chairman		100%	(Option to acquire)			2400000	-	351900	3004560	604560	3048720	648720	5406000	0.12	1.5	11/12/2024 15:40:41
MAC Copper Limited	MTAL:US	Operator: MAC Copper Limited  Owner: MAC Copper Limited (100%) NSR: Osisko Gold Royalties Ltd. (1%)	CSA	Cu,Ag		Mining	Australia	New South Wales	145.8643849	-31.28283754		49268.61	672890197	672890197			Metals Acquisition Limited Closes Purchase of the CSA Copper Mine	Project Acquisition	  -   	https://app.mininghub.com/article/36727	Mick McMullen, Chief Executive Officer						1000000000	-		1100000000	100000000	#VALUE!	#VALUE!	-		1.5	16/06/2023 04:00:00
Cyprium Metals Limited	ASX:CYM	Operator: Cyprium Metals Limited  Owner: Cyprium Metals Limited (100%) Optioner: Cyprium Metals Limited, Optionee: Q Resources Pty Limited 	Cue	Cu		Early Stage	Australia	Western Australia	118.1328797	-27.39559685		11989.21	30955899.405	30955899.405			Divestment of Non-Core Cue Project	Project Acquisition	  -   	https://app.mininghub.com/article/92004	Matt Fifield, Cyprium Executive Chair		100%	(QR acquiring Cue Project from Cyprium)			75000	-		75000		#VALUE!	#VALUE!	-	0.022	1	20/03/2025 16:40:10
