project_name,url,ticker_exchange,share_price,shares_out,cash_payments
Devils Mountain Project,https://app.mininghub.com/article/73814,ASX:GDM,$0.46,27.25m,
Disraeli Project,https://app.mininghub.com/article/74650,ASX:M4M,$0.01,3.23b,
DOM's Hill Project,https://app.mininghub.com/article/73868,,,,"{'cash_payment': '$120,000 + GST', 'keyword_locations': '- Found \'cash\' on page 3, middle: ""Kali is acquiring the new DOM\'s Hill tenements from major shareholder Kalamazoo Resources Limited (ASX: KZR ""Kalamazoo"") for cash consideration of $100,000 + GST.""\n  - Context before: ""As part of a preliminary due diligence, Kali completed a desktop review to evaluate the lithium prospectivity of the additional tenements. The new tenements host a large volume of Aplite rock, indicating potential as a favourable geological setting for pegmatite emplacement.""\n  - Context after: ""Pear Creek Exploration licence E45/6457 is located contiguously to the South of Kali\'s existing Pear Creek Project (Refer Figure 1). Kali\'s preliminary due diligence on E45/64567 suggests further exploration to test lithium mineralisation at this tenement is warranted. Kali is acquiring E45/6457 from Kalamazoo for $20,000 + GST.""'}"
Eagle Downs Project,https://app.mininghub.com/article/68138,ASX:SMR,$1.935,901.39m,"{'cash_payment': 'US$30 million for the acquisition of Eagle Downs, A$2 million for Eagle Downs South, and approximately US$4 million in completion adjustments.', 'keyword_locations': '- Found \'cash\' on page 1, middle: ""In accordance with the terms of the agreements, Stanmore paid US$30 million in cash in respect of the acquisition of Eagle Downs and A$2 million in respect of Eagle Downs South plus approximately US$4 million in completion adjustments.""\n  - Context:\n    - Before: ""Commenting on the successful completion of the Acquisitions, CEO Marcelo Matos said: “Stanmore is excited by the opportunity afforded by completing this acquisition. Stanmore will now seek to optimise the development plan and take a capital efficient approach to any development decision.”""\n    - After: ""This announcement is authorised for release by the Disclosure Committee.""'}"
Earaheedy Project,https://app.mininghub.com/article/76172,ASX:LSR,$0.006,2.02b,
Eastman Project,https://app.mininghub.com/article/78002,ASX:PKO,$0.003,527.08m,
Edjudina Project,https://app.mininghub.com/article/70039,ASX:GIB,$0.035,211.51m,"{'cash_payment': '$0', 'keyword_locations': '- Found \'cash\' on page 3, middle: ""For a total of 3 million GIB shares escrowed for 12 months. There is no cash component.""'}"
Errabiddy Project,https://app.mininghub.com/article/80113,ASX:FAL,$0.12,177.00m,"{'cash_payment': '$80,000', 'keyword_locations': '- Found \'cash\' on page 4, middle: ""Minimum expenditure commitment of $200,000 prior to withdrawal, which includes $80,000 in cash reimbursement to Errawarra for expenditure incurred to date""\n  - Context before: ""Falcon has the right to earn an interest up to 70% in the License from Errawarra by incurring the following staged expenditure: Stage 1: $750,000 in expenditure within 24 months to earn a 51% interest Stage 2: $1,250,000 in expenditure within 36 months from earning the Stage 1 interest to earn a further 19%""\n  - Context after: ""Once the Stage 2 Earn-in has been achieved, contribution to the joint venture will be on a pro rata basis: If a joint venture participant elects not to contribute its pro rata share of the approved program and budget, its interest will be diluted pursuant to the formula in the agreement If Errawarra\'s interest dilutes to 10% or less, its interest will convert to a 2% NSR Royalty""'}"
Eureka Project,https://app.mininghub.com/article/81865,ASX:JAV,$0.002,2.18b,
Evanston Project,https://app.mininghub.com/article/81547,ASX:CTN,$0.002,1.24b,"{'cash_payment': '$250,000', 'keyword_locations': '- Found \'cash\' on page 9, middle: ""Cash Payment on Agreement $25,000;""\n  - Context:\n    - Before: ""• Consideration""\n    - After: ""(ii) Cash Payment at Settlement: $225,000; and (iii) 72,500,000 fully paid ordinary shares in the capital of CTN (Consideration Shares) at settlement, to be held in escrow for 12 months.""\n- Found \'payment\' on page 9, middle: ""Cash Payment on Agreement $25,000;""\n  - Context:\n    - Before: ""• Consideration""\n    - After: ""(ii) Cash Payment at Settlement: $225,000; and (iii) 72,500,000 fully paid ordinary shares in the capital of CTN (Consideration Shares) at settlement, to be held in escrow for 12 months.""\n- Found \'cash\' on page 9, middle: ""Cash Payment at Settlement: $225,000;""\n  - Context:\n    - Before: ""(i) Cash Payment on Agreement $25,000;""\n    - After: ""and (iii) 72,500,000 fully paid ordinary shares in the capital of CTN (Consideration Shares) at settlement, to be held in escrow for 12 months.""\n- Found \'payment\' on page 9, middle: ""Cash Payment at Settlement: $225,000;""\n  - Context:\n    - Before: ""(i) Cash Payment on Agreement $25,000;""\n    - After: ""and (iii) 72,500,000 fully paid ordinary shares in the capital of CTN (Consideration Shares) at settlement, to be held in escrow for 12 months.""\n- Found \'payment\' on page 9, bottom: ""CTN must, at CTN\'s election, pay, or issue script shares in CTN to DRE to the value of, $1,000,000.""\n  - Context:\n    - Before: ""• Post Settlement Payments""\n    - After: ""CTN also agrees to assume resource cash consideration payment obligation of DRE to Arrow (Strickland) Pty Ltd of $1,000,000 if a JORC compliant inferred gold resource of greater than 500,000 oz or a resource of any commodity measured on a > 500,000 oz gold equivalent basis is identified by DRE on E16/495, E30/493, E30/494, E77/2403, E77/2416, E77/2432 and E77/2634.""\n- Found \'cash\' on page 9, bottom: ""CTN also agrees to assume resource cash consideration payment obligation of DRE to Arrow (Strickland) Pty Ltd of $1,000,000 if a JORC compliant inferred gold resource of greater than 500,000 oz or a resource of any commodity measured on a > 500,000 oz gold equivalent basis is identified by DRE on E16/495, E30/493, E30/494, E77/2403, E77/2416, E77/2432 and E77/2634.""\n  - Context:\n    - Before: ""CTN must, at CTN\'s election, pay, or issue script shares in CTN to DRE to the value of, $1,000,000.""\n    - After: ""Completion is expected in January 2025""\n- Found \'payment\' on page 9, bottom: ""CTN also agrees to assume resource cash consideration payment obligation of DRE to Arrow (Strickland) Pty Ltd of $1,000,000 if a JORC compliant inferred gold resource of greater than 500,000 oz or a resource of any commodity measured on a > 500,000 oz gold equivalent basis is identified by DRE on E16/495, E30/493, E30/494, E77/2403, E77/2416, E77/2432 and E77/2634.""\n  - Context:\n    - Before: ""CTN must, at CTN\'s election, pay, or issue script shares in CTN to DRE to the value of, $1,000,000.""\n    - After: ""Completion is expected in January 2025""'}"
Everton Project,https://app.mininghub.com/article/90975,,,,
Eyre Project,https://app.mininghub.com/article/81958,ASX:LML,$0.005,1.70b,
Fiery Creek Project,https://app.mininghub.com/article/67691,ASX:AAJ,$0.01,196.89m,
Forrestania Project,https://app.mininghub.com/article/85424,ASX:MM8,$0.265,307.65m,"{'cash_payment': '$350,000', 'keyword_locations': '- Found \'payment\' on page 1, middle: ""The Company and Redivium have agreed to extend the completion date to 01 November 2024 (or such other date as agreed), to provide additional time for Classic to settle payment and completion of closure formalities.""\n  Context:\n  Before: ""PERTH, AUSTRALIA – 18 September 2024 - Classic Minerals Ltd (ASX: CLZ) (“Classic”, or the ""Company"" refers to its purchase of the Forrestania tenements from Reed Exploration Pty Ltd (a wholly owned subsidiary of Redivium Limited (ASX:RIL) (Redivium)) as detailed in the announcement of 03 October 2023 and extension announcements of 05 February 2024, 16 May 2024 and 05 June 2024.""\n  After: ""As part of the extension:""\n  ""Classic will settle the balance of payments due at completion of approximately $350,000 plus interest charged at 12%, on or before 01 November 2024; and""\n\n- Found \'payments\' on page 1, middle: ""Classic will settle the balance of payments due at completion of approximately $350,000 plus interest charged at 12%, on or before 01 November 2024; and""\n  Context:\n  Before: ""As part of the extension:""\n  ""The Company and Redivium have agreed to extend the completion date to 01 November 2024 (or such other date as agreed), to provide additional time for Classic to settle payment and completion of closure formalities.""\n  After: ""Classic will pay Redivium an additional penalty fee, in consideration for continual delays to completion of the transaction, of an amount equal to 15% multiplied by the total outstanding amounts (including interest) owed by Classic at the completion date.""\n  ""Both parties remain fully committed to completion of the transaction.""'}"
Fraser Range Project,https://app.mininghub.com/article/92447,ASX:MRR,$0.011,1.08b,"{'cash_payment': '$500,000', 'keyword_locations': '- Found \'payment\' on page 7, middle: ""WC1 may terminate the agreement if MinRex fails to make the above payments when due and such non-payment is not remedied within 10 business days of a written demand from WC1 to do so.""\n  - Context before: ""4. MinRex may terminate the agreement if the Aboriginal heritage survey is not completed by 31 May 2025 or the survey does not provide the approvals required to carry out the planned drilling.""\n  - Context after: ""5. MinRex may elect to withdraw from the option at any time during the option period, however (except where Minrex has terminated the agreement because the Aboriginal heritage survey has not been completed by 31 May 2025 or the survey does not provide the approvals required to carry out the planned drilling as contemplated above) such withdrawal does not limit MinRex\'s funding obligations above.""'}"
Geolsec Project,https://app.mininghub.com/article/82601,ASX:KOR,$0.008,367m,"{'cash_payment': '$4.35 Million', 'keyword_locations': '- Found \'cash\' on page 1, middle: ""Korab Resources Ltd (“Korab”, or “Company”) (ASX: KOR) and its subsidiaries (“Korab Group"") refer to the ASX report titled “SALE OF GEOLSEC MINERAL LEASE ML27362"" released on 19 August 2024 which advised that Korab and Geolsec Phosphate Operations Pty Ltd have executed Binding Heads of Agreement (HoA) with an unrelated party, Leka II Shipping Limited (Leka) to sell to Leka all Korab Group\'s rights, title and interests in and to the Geolsec mineral lease ML27362 and all mining exploration information relating to the mineral lease ML27362 (the Assets) for a cash consideration of $4.35 Million and a royalty of 10% of Net Smelter Returns on all minerals other than uranium and thorium and a royalty of 1% of Net Smelter Returns on uranium and thorium (Transaction).""\n  - Context before: ""SALE OF GEOLSEC MINERAL LEASE - UPDATE"" (heading)\n  - Context after: ""The Company wishes to advise that following its submission to ASX seeking a determination whether a shareholder approval is required for the Transaction pursuant to the ASX Listing Rules, the Company has received from ASX confirmation that ASX does not consider that either Listing Rule 11.1 or 11.2 applies to the proposed sale of Mineral Lease ML27362. Therefore, the Transaction does not require shareholder approval and consequently the Company does not intend to call an Extraordinary General Meeting of shareholders for the purpose of approving the Transaction. The Company has advised Leka accordingly.""'}"
Benz Mining Corp.,https://app.mininghub.com/article/87841,BZ:CA,0.375,221.82m,
Glenfine Project,https://app.mininghub.com/article/88831,TSXV:OZ,$0.21,32.25m,"{'cash_payment': 'A$200,000', 'keyword_locations': '- Found \'cash\' on page 5, middle: ""In the event of earnin, S2 will grant Valkea a 2% Net Smelter Return (NSR) royalty, which S2 can buy back for CAD2 million at any time.""\n  - Context before: ""Should S2 complete its earnin, it will assume Valkea\'s rights and obligations as a partner in the Glenfine Joint Venture, the balance of which is held by ASX-listed Predictive Discovery and private company Cape Clear Minerals.""\n  - Context after: ""This announcement has been provided to the ASX under the authorisation of the S2 Board.""'}"
Great Pacific Gold Corp.,https://app.mininghub.com/article/87628,GPAC:CA,0.44,112.47m,"{'cash_payment': 'A$9M', 'keyword_locations': '- Found \'cash\' on page 2, middle of page: ""Some statements in this document regarding estimates or future events are forward looking statements. They include indications of, and guidance on, future earnings, cash flow, costs and financial performance.""\n    - Context: ""Forward Looking Statements Some statements in this document regarding estimates or future events are forward looking statements. They include indications of, and guidance on, future earnings, cash flow, costs and financial performance. Forward looking statements include, but are not limited to, statements preceded by words such as "" planned"","" expected"","" projected"","" estimated"","" may"","" scheduled"","" intends"","" anticipates"","" believes"","" potential"","" could"","" nominal"","" and similar expressions.""\n- Found \'cash\' on page 2, middle of page: ""Forward looking statements include, but are not limited to, statements preceded by words such as "" planned"","" expected"","" projected"","" estimated"","" may"","" scheduled"","" intends"","" anticipates"","" believes"","" potential"","" could"","" nominal"","" and similar expressions.""\n    - Context: ""They include indications of, and guidance on, future earnings, cash flow, costs and financial performance. Forward looking statements include, but are not limited to, statements preceded by words such as "" planned"","" expected"","" projected"","" estimated"","" may"","" scheduled"","" intends"","" anticipates"","" believes"","" potential"","" could"","" nominal"","" and similar expressions. Forward looking statements, opinions and estimates included in this document are based on assumptions and contingencies which are subject to change without notice, as are statements about market and industry trends, which are based on interpretations of current market conditions.""\n- Found \'cash\' on page 2, middle of page: ""Forward looking statements, opinions and estimates included in this document are based on assumptions and contingencies which are subject to change without notice, as are statements about market and industry trends, which are based on interpretations of current market conditions.""\n    - Context: ""Forward looking statements include, but are not limited to, statements preceded by words such as "" planned"","" expected"","" projected"","" estimated"","" may"","" scheduled"","" intends"","" anticipates"","" believes"","" potential"","" could"","" nominal"","" and similar expressions. Forward looking statements, opinions and estimates included in this document are based on assumptions and contingencies which are subject to change without notice, as are statements about market and industry trends, which are based on interpretations of current market conditions. Forward looking statements may be affected by a range of variables that could cause actual results to differ from estimated results, and may cause the Company\'s actual performance and financial results in future periods to materially differ from any projections of future performance or results expressed or implied by such forward looking statements.""\n- Found \'cash\' on page 2, middle of page: ""Forward looking statements may be affected by a range of variables that could cause actual results to differ from estimated results, and may cause the Company\'s actual performance and financial results in future periods to materially differ from any projections of future performance or results expressed or implied by such forward looking statements.""\n    - Context: ""Forward looking statements, opinions and estimates included in this document are based on assumptions and contingencies which are subject to change without notice, as are statements about market and industry trends, which are based on interpretations of current market conditions. Forward looking statements may be affected by a range of variables that could cause actual results to differ from estimated results, and may cause the Company\'s actual performance and financial results in future periods to materially differ from any projections of future performance or results expressed or implied by such forward looking statements. These risks and uncertainties include but are not limited to liabilities inherent in mine development and production, geological, mining and processing technical problems, the inability to obtain any additional mine licenses, permits and other regulatory approvals required in connection with mining and third party processing operations, competition for among other things, capital, acquisition of reserves, undeveloped lands and skilled personnel, incorrect assessments of the value of acquisitions, changes in commodity prices and exchange rate, currency and interest fluctuations, various events which could disrupt operations and/or the transportation of mineral products, including labour stoppages and severe weather conditions, the demand for and availability of transportation services, the ability to secure adequate financing and management\'s ability to anticipate and manage the foregoing factors and risks.""\n- Found \'cash\' on page 2, middle of page: ""These risks and uncertainties include but are not limited to liabilities inherent in mine development and production, geological, mining and processing technical problems, the inability to obtain any additional mine licenses, permits and other regulatory approvals required in connection with mining and third party processing operations, competition for among other things, capital, acquisition of reserves, undeveloped lands and skilled personnel, incorrect assessments of the value of acquisitions, changes in commodity prices and exchange rate, currency and interest fluctuations, various events which could disrupt operations and/or the transportation of mineral products, including labour stoppages and severe weather conditions, the demand for and availability of transportation services, the ability to secure adequate financing and management\'s ability to anticipate and manage the foregoing factors and risks.""\n    - Context: ""Forward looking statements may be affected by a range of variables that could cause actual results to differ from estimated results, and may cause the Company\'s actual performance and financial results in future periods to materially differ from any projections of future performance or results expressed or implied by such forward looking statements. These risks and uncertainties include but are not limited to liabilities inherent in mine development and production, geological, mining and processing technical problems, the inability to obtain any additional mine licenses, permits and other regulatory approvals required in connection with mining and third party processing operations, competition for among other things, capital, acquisition of reserves, undeveloped lands and skilled personnel, incorrect assessments of the value of acquisitions, changes in commodity prices and exchange rate, currency and interest fluctuations, various events which could disrupt operations and/or the transportation of mineral products, including labour stoppages and severe weather conditions, the demand for and availability of transportation services, the ability to secure adequate financing and management\'s ability to anticipate and manage the foregoing factors and risks. There can be no assurance that forward looking statements will prove to be correct.""\n- Found \'cash\' on page 7, middle of page: ""The following cash payments in respect of the Acquisition are:""\n    - Context: ""The tenements being acquired under the Acquisition are three mining leases, ML90128, ML90125 and ML90183. The following cash payments in respect of the Acquisition are: 1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion. 2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n- Found \'payments\' on page 7, middle of page: ""The following cash payments in respect of the Acquisition are:""\n    - Context: ""The tenements being acquired under the Acquisition are three mining leases, ML90128, ML90125 and ML90183. The following cash payments in respect of the Acquisition are: 1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion. 2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n- Found \'cash\' on page 7, middle of page: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.""\n    - Context: ""The following cash payments in respect of the Acquisition are: 1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion. 2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n- Found \'payment\' on page 7, middle of page: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.""\n    - Context: ""The following cash payments in respect of the Acquisition are: 1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion. 2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n- Found \'paid\' on page 7, middle of page: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.""\n    - Context: ""The following cash payments in respect of the Acquisition are: 1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion. 2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n- Found \'cash\' on page 7, middle of page: ""2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n    - Context: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion. 2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below) Note 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition.""\n- Found \'paid\' on page 7, middle of page: ""2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n    - Context: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion. 2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below) Note 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition.""\n- Found \'Cash payment 2\' on page 7, bottom of page: ""Note 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition.""\n    - Context: ""2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below) Note 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation). Conditions Precedent • Completion of the Acquisition is subject to the following conditions precedent:""\n- Found \'pay\' on page 18, middle of page: ""Ore delivery FCA Greater Duchess Copper Gold Project (Carnaby pay agreed ore Freight credit) or DAP Processing facility.""\n    - Context: ""Ore delivery and processing schedules to be mutually agreed ahead of mining and processing of sulphide ores. Ore delivery FCA Greater Duchess Copper Gold Project (Carnaby pay agreed ore Freight credit) or DAP Processing facility. Offtake Term Sheet sales price for the metals contained in the copper concentrate in line with the market commercial terms for copper concentrate, including adjustments for penalties, benchmark treatment and refining charges and a freight credit.""'}"
Golden Range Project,https://app.mininghub.com/article/65770,ASX:WA8,$0.115,652.02m,"{'cash_payment': 'A$2 million', 'keyword_locations': '- Found \'cash\' on page 1, top: ""A$2M Cash From Non-Core Asset Sale""\n- Found \'cash\' on page 1, top: ""Warriedar Resources Limited (ASX: WA8) (Warriedar or the Company) advises that it has signed a binding agreement for the sale of its residual Golden Range camp assets to Fenix Resources Limited (ASX:FEX) for cash consideration of A$2 million.""\n- Found \'cash\' on page 1, middle: ""Cash proceeds from the sale are set to contribute towards ongoing exploration drilling of Warriedar\'s highly prospective 25km-long \'Golden Corridor\'.""\n- Found \'cash\' on page 1, middle/bottom: ""The transaction provides us with significant additional cash for value-adding exploration via the sale of a highly underutilised asset.""\n- Found \'cash\' on page 1, bottom: ""Cash A$3.6 M (at 30 Jun 2024)""'}"
Goldsworthy East Project,https://app.mininghub.com/article/70617,ASX:M4M,$0.01,3.23b,
Gonneville Project,https://app.mininghub.com/article/56120,ASX:CHN,$1.22,386.05m,"{'cash_payment': '$50,000', 'keyword_locations': '- Found \'cash\' on page 1, bottom of page: ""Cash: $3.9M (at 31 March 2023)""\n    - Context before: ""Market capitalisation: $47M""\n    - Context after: ""ABN 33 119 826 907""\n- Found \'cash\' on page 7, top of page: ""(a) $50,000 cash, paid as a Deposit;""\n    - Context before: ""The total consideration payable by Stavely Minerals to Chalice Mining for the Transaction is:""\n    - Context after: ""(b) $950,000 worth of fully paid ordinary shares in the capital of SVY (SVY Shares), at a deemed issue price equal to the five-day volume weighted average price of SVY\'s shares as traded on the Australian Securities Exchange (5-day VWAP) up to and including the day prior to the execution of the Definitive Agreement;""\n- Found \'cash\' on page 7, bottom of page: ""A$1.75 million in cash or Stavely scrip, at Stavely\'s election, within 60 days of Stavely releasing to the ASX a Mining Scoping Study or Feasibility Study in relation to the Project;""\n    - Context before: ""6 Contingent deferred consideration from June 2019 when Chalice Mining acquired North West Nickel Pty Ltd, whereby, subject to the following milestones being achieved at the Ruins Project, Stavely will pay to the 2019 vendors of NWN:""\n    - Context after: ""A$4.5 million in cash or Stavely scrip, at Stavely\'s election, within 60 days of commencement of commercial production and cumulative gross sales exceeding A$300 million from the Project.""\n- Found \'cash\' on page 7, bottom of page: ""A$4.5 million in cash or Stavely scrip, at Stavely\'s election, within 60 days of commencement of commercial production and cumulative gross sales exceeding A$300 million from the Project.""\n    - Context before: ""A$1.75 million in cash or Stavely scrip, at Stavely\'s election, within 60 days of Stavely releasing to the ASX a Mining Scoping Study or Feasibility Study in relation to the Project;""\n    - Context after: ""Any future issuance of Stavely shares to the 2019 vendors of NWN remains subject to shareholder approval, as required, and will be priced according to the 20-day Volume Weighted Average Price (VWAP) at point of milestone completion.""\n- No \'payment\' keyword found.'}"
Goodia Project,https://app.mininghub.com/article/87350,ASX:ORD,$0.445,,
Goongarrie Project,https://app.mininghub.com/article/92292,ASX:BTR,$0.625,2.91b,"{'cash_payment': 'Nil cash consideration (A$0)', 'keyword_locations': '- Found \'cash\' on page 3, middle: ""We are pleased to have entered into the agreement for nil cash or scrip consideration with all funding going ‘into the ground\'.""\n  - Context before: ""With the gold price breaking A$4,600 oz for the first time, and with a positive pricing outlook, it\'s the perfect time for Cazaly to get back into gold.""\n  - Context after: ""We look forward to advancing this project and to working closely with our new partners at Brightstar to maximise value for shareholders.""\n- Found \'payment\' on page 3, middle: ""We are pleased to have entered into the agreement for nil cash or scrip consideration with all funding going ‘into the ground\'.""\n  - Context before: ""With the gold price breaking A$4,600 oz for the first time, and with a positive pricing outlook, it\'s the perfect time for Cazaly to get back into gold.""\n  - Context after: ""We look forward to advancing this project and to working closely with our new partners at Brightstar to maximise value for shareholders.""'}"
Governor Broome Project,https://app.mininghub.com/article/61626,ASX:ASE,$0.024,410.52m,
Greater Duchess Project,https://app.mininghub.com/article/80243,ASX:CNB,$0.34,162.85m,"{'cash_payment': 'A$9M', 'keyword_locations': '- Found \'cash\' on page 2, middle: ""Some statements in this document regarding estimates or future events are forward looking statements. They include indications of, and guidance on, future earnings, cash flow, costs and financial performance.""\n  - Context: ""Some statements in this document regarding estimates or future events are forward looking statements. They include indications of, and guidance on, future earnings, cash flow, costs and financial performance. Forward looking statements include, but are not limited to, statements preceded by words such as "" planned"","" expected"","" projected"","" estimated"","" may"","" scheduled"","" intends"","" anticipates"","" believes"","" potential"","" could"","" nominal"","" and similar expressions. Forward looking statements, opinions and estimates included in this document are based on assumptions and contingencies which are subject to change without notice, as are statements about market and industry trends, which are based on interpretations of current market conditions. Forward looking statements are provided as a general guide only and should not be relied on as a guarantee of future performance. Forward looking statements may be affected by a range of variables that could cause actual results to differ from estimated results, and may cause the Company\'s actual performance and financial results in future periods to materially differ from any projections of future performance or results expressed or implied by such forward looking statements.""\n- Found \'cash\' on page 7, middle: ""The following cash payments in respect of the Acquisition are:""\n  - Context: ""The tenements being acquired under the Acquisition are three mining leases, ML90128, ML90125 and ML90183\\nThe following cash payments in respect of the Acquisition are:\\n1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.\\n2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)\\nNote 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation).""\n- Found \'cash\' on page 7, middle: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.""\n  - Context: ""The following cash payments in respect of the Acquisition are:\\n1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.\\n2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)\\nNote 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation).""\n- Found \'cash\' on page 7, bottom: ""Note 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition.""\n  - Context: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.\\n2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)\\nNote 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation).\\nConditions Precedent\\nCompletion of the Acquisition is subject to the following conditions precedent:""\n- Found \'payment\' on page 7, middle: ""The following cash payments in respect of the Acquisition are:""\n  - Context: ""The tenements being acquired under the Acquisition are three mining leases, ML90128, ML90125 and ML90183\\nThe following cash payments in respect of the Acquisition are:\\n1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.\\n2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)\\nNote 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation).""\n- Found \'payment\' on page 7, middle: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.""\n  - Context: ""The following cash payments in respect of the Acquisition are:\\n1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.\\n2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)\\nNote 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation).""\n- Found \'payment\' on page 7, middle: ""2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)""\n  - Context: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.\\n2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)\\nNote 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation).""\n- Found \'payment\' on page 7, bottom: ""Note 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition.""\n  - Context: ""1. The Company has paid a A$3M cash deposit upon signing the ASA which is to be held in escrow until completion.\\n2. ~$6M¹, paid upon satisfaction of the conditions precedent (see below)\\nNote 1: Cash payment 2 consists of $7M minus the environmental bond required to be placed with Queensland Treasury by Carnaby upon completion of the Acquisition. The current bond estimate is ~$1.0M (see Appendix at the end of this presentation).\\nConditions Precedent\\nCompletion of the Acquisition is subject to the following conditions precedent:""'}"
Gulf Creek Project,https://app.mininghub.com/article/84054,ASX:OD6,$0.034,80.25m,"{'cash_payment': '$150,000', 'keyword_locations': '- Found \'cash\' on page 1, middle: ""OD6 advises that the conditions precedent, as outlined in the announcement dated 30 October 2024, have now been completed, via the issue of 6,000,000 Fully Paid Orindary Shares (subject to 12 months voluntary escrow) using is ASX Listing Rule 7.1 capacity, and the payment of $150,000 cash.""\n- Found \'payment\' on page 1, middle: ""OD6 advises that the conditions precedent, as outlined in the announcement dated 30 October 2024, have now been completed, via the issue of 6,000,000 Fully Paid Orindary Shares (subject to 12 months voluntary escrow) using is ASX Listing Rule 7.1 capacity, and the payment of $150,000 cash.""\n- Found \'cash\' on page 1, bottom: ""if, after seeking shareholder approval for the issue of Deferred Consideration Shares, OD6 does not receive the requisite shareholder approval for issue of such OD6 Shares, a cash payment by the Company of $200,000 to the Seller in immediately available funds (Deferred Cash Consideration), payable within 5 Business Days of the applicable OD6 shareholder meeting,""\n- Found \'payment\' on page 1, bottom: ""if, after seeking shareholder approval for the issue of Deferred Consideration Shares, OD6 does not receive the requisite shareholder approval for issue of such OD6 Shares, a cash payment by the Company of $200,000 to the Seller in immediately available funds (Deferred Cash Consideration), payable within 5 Business Days of the applicable OD6 shareholder meeting,""'}"
